Time;Price (cent/kWh)
31/10/2023 5.59;4,267
31/10/2023 6.59;9,91
31/10/2023 7.59;12,903
31/10/2023 8.59;12,979
31/10/2023 9.59;12,075
31/10/2023 10.59;11,175
31/10/2023 11.59;12,25
31/10/2023 12.59;12,195
31/10/2023 13.59;11,672
31/10/2023 14.59;7,497
31/10/2023 15.59;6,064
31/10/2023 16.59;5,064
31/10/2023 17.59;3,331
31/10/2023 18.59;3,099
31/10/2023 19.59;2,747
31/10/2023 20.59;2,451
31/10/2023 21.59;2,196
31/10/2023 22.59;1,653
31/10/2023 23.59;1,231
01/11/2023 0.59;0,275
01/11/2023 1.59;0,083
01/11/2023 2.59;0,001
01/11/2023 3.59;0,001
01/11/2023 4.59;0,218
01/11/2023 5.59;1,87
01/11/2023 6.59;2,008
01/11/2023 7.59;2,129
01/11/2023 8.59;2,332
01/11/2023 9.59;2,355
01/11/2023 10.59;2,376
01/11/2023 11.59;2,407
01/11/2023 12.59;2,398
01/11/2023 13.59;2,355
01/11/2023 14.59;2,314
01/11/2023 15.59;2,292
01/11/2023 16.59;2,372
01/11/2023 17.59;2,779
01/11/2023 18.59;2,464
01/11/2023 19.59;2,442
01/11/2023 20.59;2,427
01/11/2023 21.59;2,486
01/11/2023 22.59;2,37
01/11/2023 23.59;2,102
02/11/2023 0.59;2,504
02/11/2023 1.59;2,104
02/11/2023 2.59;1,907
02/11/2023 3.59;1,704
02/11/2023 4.59;1,938
02/11/2023 5.59;2,651
02/11/2023 6.59;5,403
02/11/2023 7.59;8,454
02/11/2023 8.59;9,41
02/11/2023 9.59;8,576
02/11/2023 10.59;7,45
02/11/2023 11.59;7,435
02/11/2023 12.59;7,31
02/11/2023 13.59;7,185
02/11/2023 14.59;7,893
02/11/2023 15.59;7,635
02/11/2023 16.59;7,771
02/11/2023 17.59;7,824
02/11/2023 18.59;7,227
02/11/2023 19.59;5,332
02/11/2023 20.59;3,913
02/11/2023 21.59;4,093
02/11/2023 22.59;3,719
02/11/2023 23.59;2,399
03/11/2023 0.59;1,881
03/11/2023 1.59;1,422
03/11/2023 2.59;1,24
03/11/2023 3.59;0,711
03/11/2023 4.59;1,246
03/11/2023 5.59;2,926
03/11/2023 6.59;4,96
03/11/2023 7.59;3,101
03/11/2023 8.59;2,542
03/11/2023 9.59;2,568
03/11/2023 10.59;2,551
03/11/2023 11.59;2,526
03/11/2023 12.59;2,5
03/11/2023 13.59;2,394
03/11/2023 14.59;2,279
03/11/2023 15.59;2,208
03/11/2023 16.59;2,163
03/11/2023 17.59;2,156
03/11/2023 18.59;2,077
03/11/2023 19.59;1,875
03/11/2023 20.59;1,5
03/11/2023 21.59;1,241
03/11/2023 22.59;0,615
03/11/2023 23.59;0,3
04/11/2023 0.59;1,24
04/11/2023 1.59;1,241
04/11/2023 2.59;0,885
04/11/2023 3.59;0,56
04/11/2023 4.59;0,434
04/11/2023 5.59;0,384
04/11/2023 6.59;0,277
04/11/2023 7.59;0,35
04/11/2023 8.59;0,539
04/11/2023 9.59;0,715
04/11/2023 10.59;1,104
04/11/2023 11.59;1,185
04/11/2023 12.59;0,825
04/11/2023 13.59;0,491
04/11/2023 14.59;0,459
04/11/2023 15.59;0,502
04/11/2023 16.59;1,105
04/11/2023 17.59;1,414
04/11/2023 18.59;0,76
04/11/2023 19.59;0,506
04/11/2023 20.59;0,109
04/11/2023 21.59;0,487
04/11/2023 22.59;0,363
04/11/2023 23.59;0,022
05/11/2023 0.59;-0,006
05/11/2023 1.59;-0,01
05/11/2023 2.59;-0,01
05/11/2023 3.59;-0,01
05/11/2023 4.59;-0,008
05/11/2023 5.59;0
05/11/2023 6.59;0
05/11/2023 7.59;0,201
05/11/2023 8.59;1,864
05/11/2023 9.59;2,373
05/11/2023 10.59;2,95
05/11/2023 11.59;3,393
05/11/2023 12.59;3,603
05/11/2023 13.59;3,594
05/11/2023 14.59;3,963
05/11/2023 15.59;4,205
05/11/2023 16.59;5,224
05/11/2023 17.59;6,02
05/11/2023 18.59;5,797
05/11/2023 19.59;5,555
05/11/2023 20.59;4,557
05/11/2023 21.59;3,744
05/11/2023 22.59;3,329
05/11/2023 23.59;2,682
06/11/2023 0.59;2,356
06/11/2023 1.59;2,106
06/11/2023 2.59;2,097
06/11/2023 3.59;2,068
06/11/2023 4.59;2,101
06/11/2023 5.59;3,145
06/11/2023 6.59;7,461
